director_name,actor_1_name,actor_2_name,actor_3_name,movie_title,genres,comb
"John Francis Daley, Jonathan Goldstein (directors); Mark Perez (screenplay); Jason Bateman, Rachel McAdams, Billy Magnussen, Sharon Horgan, Lamorne Morris, Kylie Bunbury, Jesse Plemons, Michael C. Hall, Kyle Chandler",Jason Bateman,Jonathan Goldstein (directors); Mark Perez (screenplay); Jason Bateman,Rachel McAdams,Game Night,Mystery Comedy Crime,"Jason Bateman Jonathan Goldstein (directors); Mark Perez (screenplay); Jason Bateman Rachel McAdams John Francis Daley, Jonathan Goldstein (directors); Mark Perez (screenplay); Jason Bateman, Rachel McAdams, Billy Magnussen, Sharon Horgan, Lamorne Morris, Kylie Bunbury, Jesse Plemons, Michael C. Hall, Kyle Chandler Mystery Comedy Crime"
Alex Garland ,Natalie Portman,Jennifer Jason Leigh,Gina Rodriguez,Annihilation,Science Fiction Horror,Natalie Portman Jennifer Jason Leigh Gina Rodriguez Alex Garland  Science Fiction Horror
Michael Sucsy ,Angourie Rice,Justice Smith,Debby Ryan,Every Day,Romance Fantasy,Angourie Rice Justice Smith Debby Ryan Michael Sucsy  Romance Fantasy
David Freyne ,Ellen Page,Sam Keeley,Tom Vaughan-Lawlor,The Cured,Horror Drama Science Fiction,Ellen Page Sam Keeley Tom Vaughan-Lawlor David Freyne  Horror Drama Science Fiction
Francis Lawrence ,Jennifer Lawrence,Joel Edgerton,Matthias Schoenaerts,Red Sparrow,Thriller Mystery,Jennifer Lawrence Joel Edgerton Matthias Schoenaerts Francis Lawrence  Thriller Mystery
Eli Roth ,Bruce Willis,Vincent D'Onofrio,Elisabeth Shue,Death Wish,Action Crime Drama Thriller,Bruce Willis Vincent D'Onofrio Elisabeth Shue Eli Roth  Action Crime Drama Thriller
Shawn Christensen ,Logan Lerman,Elle Fanning,Michelle Monaghan,The Vanishing of Sidney Hall,Drama Mystery Romance,Logan Lerman Elle Fanning Michelle Monaghan Shawn Christensen  Drama Mystery Romance
Usher Morgan ,Elyse Price,Katie Vincent,Joel Bernard,Pickings,Thriller Action Crime Drama Mystery,Elyse Price Katie Vincent Joel Bernard Usher Morgan  Thriller Action Crime Drama Mystery
Ava DuVernay ,Storm Reid,Jeff Stockwell (screenplay); Storm Reid,Oprah Winfrey,A Wrinkle in Time,Adventure Science Fiction Family Fantasy,Storm Reid Jeff Stockwell (screenplay); Storm Reid Oprah Winfrey Ava DuVernay  Adventure Science Fiction Family Fantasy
Nash Edgerton ,David Oyelowo,Anthony Tambakis (screenplay); David Oyelowo,Charlize Theron,Gringo,Comedy Action Crime,David Oyelowo Anthony Tambakis (screenplay); David Oyelowo Charlize Theron Nash Edgerton  Comedy Action Crime
Cory Finley ,Olivia Cooke,Anya Taylor-Joy,Anton Yelchin,Thoroughbreds,Drama Thriller,Olivia Cooke Anya Taylor-Joy Anton Yelchin Cory Finley  Drama Thriller
Johannes Roberts ,Christina Hendricks,Ben Ketai (screenplay); Christina Hendricks,Martin Henderson,The Strangers: Prey at Night,Horror Thriller,Christina Hendricks Ben Ketai (screenplay); Christina Hendricks Martin Henderson Johannes Roberts  Horror Thriller
Rob Cohen ,Toby Kebbell,Jeff Dixon (screenplay); Toby Kebbell,Maggie Grace,The Hurricane Heist,Action Crime Thriller,Toby Kebbell Jeff Dixon (screenplay); Toby Kebbell Maggie Grace Rob Cohen  Action Crime Thriller
Roar Uthaug ,Alicia Vikander,Alastair Siddons (screenplay); Alicia Vikander,Dominic West,Tomb Raider,Action Adventure Fantasy,Alicia Vikander Alastair Siddons (screenplay); Alicia Vikander Dominic West Roar Uthaug  Action Adventure Fantasy
Greg Berlanti ,Nick Robinson,Elizabeth Berger (screenplay); Nick Robinson,Josh Duhamel,"Love, Simon",Comedy Drama Romance,Nick Robinson Elizabeth Berger (screenplay); Nick Robinson Josh Duhamel Greg Berlanti  Comedy Drama Romance
"Erwin brothers (directors); Jon Erwin, Brent McCorkle (screenplay); J. Michael Finley, Madeline Carroll, Trace Adkins, Priscilla Shirer, Cloris Leachman, Dennis Quaid",J. Michael Finley,Brent McCorkle (screenplay); J. Michael Finley,Madeline Carroll,I Can Only Imagine,Music Drama,"J. Michael Finley Brent McCorkle (screenplay); J. Michael Finley Madeline Carroll Erwin brothers (directors); Jon Erwin, Brent McCorkle (screenplay); J. Michael Finley, Madeline Carroll, Trace Adkins, Priscilla Shirer, Cloris Leachman, Dennis Quaid Music Drama"
José Padilha ,Rosamund Pike,Daniel Brühl,Eddie Marsan,Entebbe,Thriller Drama Crime,Rosamund Pike Daniel Brühl Eddie Marsan José Padilha  Thriller Drama Crime
Laurie Collyer ,Tessa Thompson,Melissa Leo,Whoopi Goldberg,Furlough,Comedy,Tessa Thompson Melissa Leo Whoopi Goldberg Laurie Collyer  Comedy
Eric England ,Sophie Turner,Anthony Ragnone II (screenplay); Sophie Turner,Dylan McDermott,Josie,Thriller Drama,Sophie Turner Anthony Ragnone II (screenplay); Sophie Turner Dylan McDermott Eric England  Thriller Drama
Max Winkler ,Zoey Deutch,Matt Spicer (screenplay); Zoey Deutch,Kathryn Hahn,Flower,Comedy Drama,Zoey Deutch Matt Spicer (screenplay); Zoey Deutch Kathryn Hahn Max Winkler  Comedy Drama
Steven S. DeKnight ,John Boyega,Kira Snyder,T. S. Nowlin (screenplay); John Boyega,Pacific Rim Uprising,Action Fantasy Science Fiction Adventure,John Boyega Kira Snyder T. S. Nowlin (screenplay); John Boyega Steven S. DeKnight  Action Fantasy Science Fiction Adventure
Wes Anderson ,Bryan Cranston,Koyu Rankin,Edward Norton,Isle of Dogs,Adventure Comedy Animation,Bryan Cranston Koyu Rankin Edward Norton Wes Anderson  Adventure Comedy Animation
John Stevenson ,James McAvoy,Emily Blunt,Chiwetel Ejiofor,Sherlock Gnomes,Animation Family Fantasy Comedy Adventure Mystery,James McAvoy Emily Blunt Chiwetel Ejiofor John Stevenson  Animation Family Fantasy Comedy Adventure Mystery
Steven Soderbergh ,Claire Foy,James Greer (screenplay); Claire Foy,Joshua Leonard,Unsane,Horror Thriller,Claire Foy James Greer (screenplay); Claire Foy Joshua Leonard Steven Soderbergh  Horror Thriller
Andrew Hyatt ,Jim Caviezel,Olivier Martinez,James Faulkner,"Paul, Apostle of Christ",Drama,Jim Caviezel Olivier Martinez James Faulkner Andrew Hyatt  Drama
Stanley Tucci ,Geoffrey Rush,Armie Hammer,Clémence Poésy,Final Portrait,History Drama,Geoffrey Rush Armie Hammer Clémence Poésy Stanley Tucci  History Drama
Scott Speer ,Bella Thorne,Patrick Schwarzenegger,Rob Riggle,Midnight Sun,Romance Drama,Bella Thorne Patrick Schwarzenegger Rob Riggle Scott Speer  Romance Drama
Steven Spielberg ,Tye Sheridan,Ernest Cline (screenplay); Tye Sheridan,Olivia Cooke,Ready Player One,Adventure Action Science Fiction,Tye Sheridan Ernest Cline (screenplay); Tye Sheridan Olivia Cooke Steven Spielberg  Adventure Action Science Fiction
Tyler Perry ,Taraji P. Henson,Lyriq Bent,Crystle Stewart,Acrimony,Drama Thriller,Taraji P. Henson Lyriq Bent Crystle Stewart Tyler Perry  Drama Thriller
Michael Mason ,David A. R. White,John Corbett,Shane Harper,God's Not Dead: A Light in Darkness,Drama,David A. R. White John Corbett Shane Harper Michael Mason  Drama
Aaron Katz ,Lola Kirke,Zoë Kravitz,Greta Lee,Gemini,Mystery Crime Drama Thriller,Lola Kirke Zoë Kravitz Greta Lee Aaron Katz  Mystery Crime Drama Thriller
Adam Rifkin ,Burt Reynolds,Ariel Winter,Clark Duke,The Last Movie Star,Drama,Burt Reynolds Ariel Winter Clark Duke Adam Rifkin  Drama
John Krasinski ,Emily Blunt,Scott Beck (screenplay); Emily Blunt,John Krasinski,A Quiet Place,Horror Drama Science Fiction,Emily Blunt Scott Beck (screenplay); Emily Blunt John Krasinski John Krasinski  Horror Drama Science Fiction
Kay Cannon ,Leslie Mann,Jim Kehoe (screenplay); Leslie Mann,Ike Barinholtz,Blockers,Comedy,Leslie Mann Jim Kehoe (screenplay); Leslie Mann Ike Barinholtz Kay Cannon  Comedy
Lynne Ramsay ,Joaquin Phoenix,Judith Roberts,Ekaterina Samsonov,You Were Never Really Here,Crime Drama Thriller,Joaquin Phoenix Judith Roberts Ekaterina Samsonov Lynne Ramsay  Crime Drama Thriller
John Curran ,Jason Clarke,Andrew Logan (screenplay); Jason Clarke,Kate Mara,Chappaquiddick,History Drama Thriller,Jason Clarke Andrew Logan (screenplay); Jason Clarke Kate Mara John Curran  History Drama Thriller
Sean McNamara ,Erin Moriarty,Elissa Matsueda (screenplay); Erin Moriarty,Helen Hunt,The Miracle Season,Drama,Erin Moriarty Elissa Matsueda (screenplay); Erin Moriarty Helen Hunt Sean McNamara  Drama
Barry Levinson ,Al Pacino,John C. Richards (screenplay); Al Pacino,Riley Keough,Paterno,Drama TV Movie,Al Pacino John C. Richards (screenplay); Al Pacino Riley Keough Barry Levinson  Drama TV Movie
Brad Anderson ,Jon Hamm,Rosamund Pike,Dean Norris,Beirut,Action Thriller Drama,Jon Hamm Rosamund Pike Dean Norris Brad Anderson  Action Thriller Drama
Brad Peyton ,Dwayne Johnson,Carlton Cuse,Ryan Condal,Rampage,Action Adventure Science Fiction,Dwayne Johnson Carlton Cuse Ryan Condal Brad Peyton  Action Adventure Science Fiction
Jeff Wadlow ,Lucy Hale,Jillian Jacobs,Chris Roach (screenplay); Lucy Hale,Truth or Dare,Thriller Horror,Lucy Hale Jillian Jacobs Chris Roach (screenplay); Lucy Hale Jeff Wadlow  Thriller Horror
Chloé Zhao ,Brady Jandreau,Lilly Jandreau,Tim Jandreau,The Rider,Drama Western,Brady Jandreau Lilly Jandreau Tim Jandreau Chloé Zhao  Drama Western
Richard Lanni ,Logan Lerman,Helena Bonham Carter,Gérard Depardieu,Sgt. Stubby: An American Hero,Animation Adventure Family History War,Logan Lerman Helena Bonham Carter Gérard Depardieu Richard Lanni  Animation Adventure Family History War
Emilio Insolera ,Emilio Insolera,Carola Insolera,Ben Bahan,Sign Gene,Science Fiction Adventure,Emilio Insolera Carola Insolera Ben Bahan Emilio Insolera  Science Fiction Adventure
"Abby Kohn, Marc Silverstein ",Amy Schumer,Marc Silverstein (director/screenplay); Amy Schumer,Michelle Williams,I Feel Pretty,Comedy Romance,"Amy Schumer Marc Silverstein (director/screenplay); Amy Schumer Michelle Williams Abby Kohn, Marc Silverstein  Comedy Romance"
Jay Chandrasekhar ,Jay Chandrasekhar,Kevin Heffernan,Steve Lemme,Super Troopers 2,Comedy Crime Mystery,Jay Chandrasekhar Kevin Heffernan Steve Lemme Jay Chandrasekhar  Comedy Crime Mystery
Deon Taylor ,Paula Patton,Omar Epps,Laz Alonso,Traffik,Horror Thriller,Paula Patton Omar Epps Laz Alonso Deon Taylor  Horror Thriller
Peter Livolsi ,Ellen Burstyn,Nick Offerman,Asa Butterfield,The House of Tomorrow,Animation Comedy Family,Ellen Burstyn Nick Offerman Asa Butterfield Peter Livolsi  Animation Comedy Family
"Russo brothers (directors); Christopher Markus, Stephen McFeely (screenplay); Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Benedict Cumberbatch, Don Cheadle, Tom Holland, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Anthony Mackie, Sebastian Stan, Danai Gurira, Letitia Wright, Dave Bautista, Zoe Saldaña, Josh Brolin, Chris Pratt",Robert Downey Jr.,Stephen McFeely (screenplay); Robert Downey Jr.,Chris Hemsworth,Avengers: Infinity War,Adventure Action Science Fiction,"Robert Downey Jr. Stephen McFeely (screenplay); Robert Downey Jr. Chris Hemsworth Russo brothers (directors); Christopher Markus, Stephen McFeely (screenplay); Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Benedict Cumberbatch, Don Cheadle, Tom Holland, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Anthony Mackie, Sebastian Stan, Danai Gurira, Letitia Wright, Dave Bautista, Zoe Saldaña, Josh Brolin, Chris Pratt Adventure Action Science Fiction"
Sebastián Lelio ,Rachel Weisz,Rachel McAdams,Alessandro Nivola,Disobedience,Drama Romance,Rachel Weisz Rachel McAdams Alessandro Nivola Sebastián Lelio  Drama Romance
Per Fly ,Theo James,Ben Kingsley,Belçim Bilgin,Backstabbing for Beginners,Thriller Drama History,Theo James Ben Kingsley Belçim Bilgin Per Fly  Thriller Drama History
Deniz Gamze Ergüven ,Halle Berry,unknown,unknown,Kings,Romance Drama Crime,Halle Berry unknown unknown Deniz Gamze Ergüven  Romance Drama Crime
Rob Greenberg ,Eugenio Derbez,Leslie Dixon (screenplay); Eugenio Derbez,Anna Faris,Overboard,Romance Comedy,Eugenio Derbez Leslie Dixon (screenplay); Eugenio Derbez Anna Faris Rob Greenberg  Romance Comedy
Jason Reitman ,Charlize Theron,Mackenzie Davis,Ron Livingston,Tully,Comedy Drama,Charlize Theron Mackenzie Davis Ron Livingston Jason Reitman  Comedy Drama
Dean Devlin ,David Tennant,Robert Sheehan,Carlito Olivero,Bad Samaritan,Thriller Crime Horror,David Tennant Robert Sheehan Carlito Olivero Dean Devlin  Thriller Crime Horror
Bobby Miller ,Johnny Galecki,Anna Friel,Oliver Platt,The Cleanse,Drama Comedy Fantasy Horror,Johnny Galecki Anna Friel Oliver Platt Bobby Miller  Drama Comedy Fantasy Horror
Ben Falcone ,Melissa McCarthy,Gillian Jacobs,Maya Rudolph,Life of the Party,Comedy,Melissa McCarthy Gillian Jacobs Maya Rudolph Ben Falcone  Comedy
James McTeigue ,Gabrielle Union,Billy Burke,Richard Cabral,Breaking In,Thriller Crime Action,Gabrielle Union Billy Burke Richard Cabral James McTeigue  Thriller Crime Action
Michael Mayer ,Annette Bening,Saoirse Ronan,Corey Stoll,The Seagull,Drama Romance Comedy,Annette Bening Saoirse Ronan Corey Stoll Michael Mayer  Drama Romance Comedy
Vaughn Stein ,Margot Robbie,Simon Pegg,Dexter Fletcher,Terminal,Crime Drama Thriller,Margot Robbie Simon Pegg Dexter Fletcher Vaughn Stein  Crime Drama Thriller
David Leitch ,Ryan Reynolds,Paul Wernick,Ryan Reynolds (screenplay); Ryan Reynolds,Deadpool 2,Action Comedy Adventure,Ryan Reynolds Paul Wernick Ryan Reynolds (screenplay); Ryan Reynolds David Leitch  Action Comedy Adventure
Bill Holderman ,Diane Keaton,Jane Fonda,Candice Bergen,Book Club,Romance Comedy Drama,Diane Keaton Jane Fonda Candice Bergen Bill Holderman  Romance Comedy Drama
Paul Schrader ,Ethan Hawke,Amanda Seyfried,Cedric the Entertainer,First Reformed,Drama,Ethan Hawke Amanda Seyfried Cedric the Entertainer Paul Schrader  Drama
Raja Gosnell ,Will Arnett,Marc Hyman (screenplay); Will Arnett,Ludacris,Show Dogs,Adventure Crime Family Comedy,Will Arnett Marc Hyman (screenplay); Will Arnett Ludacris Raja Gosnell  Adventure Crime Family Comedy
Ramin Bahrani ,Michael B. Jordan,Michael Shannon,Sofia Boutella,Fahrenheit 451,Drama Science Fiction Thriller,Michael B. Jordan Michael Shannon Sofia Boutella Ramin Bahrani  Drama Science Fiction Thriller
Ron Howard ,Alden Ehrenreich,Lawrence Kasdan (screenplay); Alden Ehrenreich,Woody Harrelson,Solo: A Star Wars Story,Science Fiction Adventure Action,Alden Ehrenreich Lawrence Kasdan (screenplay); Alden Ehrenreich Woody Harrelson Ron Howard  Science Fiction Adventure Action
John Cameron Mitchell ,Elle Fanning,Alex Sharp,Nicole Kidman,How to Talk to Girls at Parties,Comedy Music Romance Science Fiction,Elle Fanning Alex Sharp Nicole Kidman John Cameron Mitchell  Comedy Music Romance Science Fiction
Anthony Byrne ,Natalie Dormer,Ed Skrein,Emily Ratajkowski,In Darkness,Thriller Mystery,Natalie Dormer Ed Skrein Emily Ratajkowski Anthony Byrne  Thriller Mystery
James Franco ,James Franco,Suki Waterhouse,Jeffrey Wahlberg,Future World,Science Fiction,James Franco Suki Waterhouse Jeffrey Wahlberg James Franco  Science Fiction
Jennifer Fox ,Laura Dern,Ellen Burstyn,Jason Ritter,The Tale,Drama Mystery,Laura Dern Ellen Burstyn Jason Ritter Jennifer Fox  Drama Mystery
Tim Kirkby ,Johnny Knoxville,Dave Krinsky (screenplay); Johnny Knoxville,Chris Pontius,Action Point,Comedy,Johnny Knoxville Dave Krinsky (screenplay); Johnny Knoxville Chris Pontius Tim Kirkby  Comedy
Baltasar Kormákur ,Shailene Woodley,Jordan Kandell,David Branson Smith (screenplay); Shailene Woodley,Adrift,Thriller Romance Adventure,Shailene Woodley Jordan Kandell David Branson Smith (screenplay); Shailene Woodley Baltasar Kormákur  Thriller Romance Adventure
Leigh Whannell ,Logan Marshall-Green,Betty Gabriel,Harrison Gilbertson,Upgrade,Action Thriller Science Fiction,Logan Marshall-Green Betty Gabriel Harrison Gilbertson Leigh Whannell  Action Thriller Science Fiction
Bart Layton ,Evan Peters,Barry Keoghan,Blake Jenner,American Animals,Drama Crime Documentary,Evan Peters Barry Keoghan Blake Jenner Bart Layton  Drama Crime Documentary
Theresa Bennett ,Noël Wells,Josh Radnor,Aya Cash,Social Animals,Comedy Romance,Noël Wells Josh Radnor Aya Cash Theresa Bennett  Comedy Romance
Gary Ross ,Sandra Bullock,Cate Blanchett,Anne Hathaway,Ocean's 8,Crime Comedy Action,Sandra Bullock Cate Blanchett Anne Hathaway Gary Ross  Crime Comedy Action
Morgan Neville ,Morgan Neville (director); Fred Rogers,François Clemmons,Yo-Yo Ma,Won't You Be My Neighbor?,Documentary,Morgan Neville (director); Fred Rogers François Clemmons Yo-Yo Ma Morgan Neville  Documentary
Ari Aster ,Toni Collette,Alex Wolff,Milly Shapiro,Hereditary,Horror Mystery Thriller,Toni Collette Alex Wolff Milly Shapiro Ari Aster  Horror Mystery Thriller
Drew Pearce ,Jodie Foster,Sterling K. Brown,Sofia Boutella,Hotel Artemis,Thriller Science Fiction Action,Jodie Foster Sterling K. Brown Sofia Boutella Drew Pearce  Thriller Science Fiction Action
Director X ,Trevor Jackson,Jason Mitchell,Michael K. Williams,Superfly,Action Crime,Trevor Jackson Jason Mitchell Michael K. Williams Director X  Action Crime
Brad Bird ,Craig T. Nelson,Holly Hunter,Sarah Vowell,Incredibles 2,Action Adventure Animation Family,Craig T. Nelson Holly Hunter Sarah Vowell Brad Bird  Action Adventure Animation Family
Jeff Tomsic ,Ed Helms,Mark Steilen (screenplay); Ed Helms,Jake Johnson,Tag,Comedy Action,Ed Helms Mark Steilen (screenplay); Ed Helms Jake Johnson Jeff Tomsic  Comedy Action
Kevin Connolly ,John Travolta,Leo Rossi (screenplay); John Travolta,Spencer Lofranco,Gotti,Crime Drama History Thriller,John Travolta Leo Rossi (screenplay); John Travolta Spencer Lofranco Kevin Connolly  Crime Drama History Thriller
J. A. Bayona ,Chris Pratt,Colin Trevorrow (screenplay); Chris Pratt,Bryce Dallas Howard,Jurassic World: Fallen Kingdom,Action Adventure Science Fiction Thriller,Chris Pratt Colin Trevorrow (screenplay); Chris Pratt Bryce Dallas Howard J. A. Bayona  Action Adventure Science Fiction Thriller
Shana Feste ,Vera Farmiga,Christopher Plummer,Lewis MacDougall,Boundaries,Comedy Drama,Vera Farmiga Christopher Plummer Lewis MacDougall Shana Feste  Comedy Drama
"David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska",Robert Pattinson,Nathan Zellner (directors/screenplay); Robert Pattinson,Mia Wasikowska,Damsel,Fantasy Action Adventure,"Robert Pattinson Nathan Zellner (directors/screenplay); Robert Pattinson Mia Wasikowska David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska Fantasy Action Adventure"
Mike P. Nelson ,Tyler Hoechlin,Kate Bosworth,Lance Reddick,The Domestics,Thriller Horror,Tyler Hoechlin Kate Bosworth Lance Reddick Mike P. Nelson  Thriller Horror
Stefano Sollima ,Benicio del Toro,Josh Brolin,Isabela Merced,Sicario: Day of the Soldado,Action Crime Thriller,Benicio del Toro Josh Brolin Isabela Merced Stefano Sollima  Action Crime Thriller
Debra Granik ,Ben Foster,Thomasin McKenzie,Jeff Kober,Leave No Trace,Drama,Ben Foster Thomasin McKenzie Jeff Kober Debra Granik  Drama
Matt Sivertson ,Caroline Amiguet,Sara Wolfkind,Michael Christopher Shantz,Love All You Have Left,Drama,Caroline Amiguet Sara Wolfkind Michael Christopher Shantz Matt Sivertson  Drama
Charles Stone III ,Kyrie Irving,Lil Rel Howery,Shaquille O'Neal,Uncle Drew,Comedy,Kyrie Irving Lil Rel Howery Shaquille O'Neal Charles Stone III  Comedy
Susanna White ,Jessica Chastain,Michael Greyeyes,Chaske Spencer,Woman Walks Ahead,Drama History Western,Jessica Chastain Michael Greyeyes Chaske Spencer Susanna White  Drama History Western
Richie Moore ,Russell Geoffrey Banks,Russell Geoffrey Banks (screenplay); Russell Geoffrey Banks,Sara Malakul Lane,Who's Watching Oliver,Horror TV Movie,Russell Geoffrey Banks Russell Geoffrey Banks (screenplay); Russell Geoffrey Banks Sara Malakul Lane Richie Moore  Horror TV Movie
Gerard McMurray ,Y'lan Noel,Lex Scott Davis,Joivan Wade,The First Purge,Horror Action Thriller,Y'lan Noel Lex Scott Davis Joivan Wade Gerard McMurray  Horror Action Thriller
Peyton Reed ,Paul Rudd,Erik Sommers,Paul Rudd,Ant-Man and the Wasp,Action Adventure Science Fiction,Paul Rudd Erik Sommers Paul Rudd Peyton Reed  Action Adventure Science Fiction
Boots Riley ,LaKeith Stanfield,Tessa Thompson,Jermaine Fowler,Sorry to Bother You,Fantasy Science Fiction Comedy,LaKeith Stanfield Tessa Thompson Jermaine Fowler Boots Riley  Fantasy Science Fiction Comedy
Kevin Macdonald ,Whitney Houston,unknown,unknown,Whitney,Music Documentary,Whitney Houston unknown unknown Kevin Macdonald  Music Documentary
